entity_id,entity_key,kingdom,species,genus,activity,metabolite,confidence,evidence,observed,genome_accession,source_json
FG_aspergillus_fumigatus_GCF_000002655.1,FG_aspergillus_fumigatus_GCF_000002655.1 | aspergillus fumigatus,fungi,aspergillus fumigatus,aspergillus,production,Beta-lactone,0.65,antiSMASH BGC (predicted),False,GCF_000002655.1,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_fumigatus/GCF_000002655.1/genomic.json
FG_aspergillus_fumigatus_GCF_000002655.1,FG_aspergillus_fumigatus_GCF_000002655.1 | aspergillus fumigatus,fungi,aspergillus fumigatus,aspergillus,production,Nonribosomal peptide,0.65,antiSMASH BGC (predicted),False,GCF_000002655.1,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_fumigatus/GCF_000002655.1/genomic.json
FG_aspergillus_fumigatus_GCF_000002655.1,FG_aspergillus_fumigatus_GCF_000002655.1 | aspergillus fumigatus,fungi,aspergillus fumigatus,aspergillus,production,Polyketide (type I),0.65,antiSMASH BGC (predicted),False,GCF_000002655.1,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_fumigatus/GCF_000002655.1/genomic.json
FG_aspergillus_fumigatus_GCF_000002655.1,FG_aspergillus_fumigatus_GCF_000002655.1 | aspergillus fumigatus,fungi,aspergillus fumigatus,aspergillus,production,Terpene,0.65,antiSMASH BGC (predicted),False,GCF_000002655.1,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_fumigatus/GCF_000002655.1/genomic.json
FG_aspergillus_nidulans_GCF_000149205.2,FG_aspergillus_nidulans_GCF_000149205.2 | aspergillus nidulans,fungi,aspergillus nidulans,aspergillus,production,Beta-lactone,0.65,antiSMASH BGC (predicted),False,GCF_000149205.2,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_nidulans/GCF_000149205.2/genomic.json
FG_aspergillus_nidulans_GCF_000149205.2,FG_aspergillus_nidulans_GCF_000149205.2 | aspergillus nidulans,fungi,aspergillus nidulans,aspergillus,production,Nonribosomal peptide,0.65,antiSMASH BGC (predicted),False,GCF_000149205.2,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_nidulans/GCF_000149205.2/genomic.json
FG_aspergillus_nidulans_GCF_000149205.2,FG_aspergillus_nidulans_GCF_000149205.2 | aspergillus nidulans,fungi,aspergillus nidulans,aspergillus,production,Polyketide (type I),0.65,antiSMASH BGC (predicted),False,GCF_000149205.2,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_nidulans/GCF_000149205.2/genomic.json
FG_aspergillus_nidulans_GCF_000149205.2,FG_aspergillus_nidulans_GCF_000149205.2 | aspergillus nidulans,fungi,aspergillus nidulans,aspergillus,production,Terpene,0.65,antiSMASH BGC (predicted),False,GCF_000149205.2,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_nidulans/GCF_000149205.2/genomic.json
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,production,Beta-lactone,0.65,antiSMASH BGC (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_niger/GCF_000002855.4/genomic.json
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,production,Siderophore,0.65,antiSMASH BGC (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_niger/GCF_000002855.4/genomic.json
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,production,Nonribosomal peptide,0.65,antiSMASH BGC (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_niger/GCF_000002855.4/genomic.json
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,production,RiPP,0.65,antiSMASH BGC (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_niger/GCF_000002855.4/genomic.json
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,production,Polyketide (type I),0.65,antiSMASH BGC (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_niger/GCF_000002855.4/genomic.json
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,production,Polyketide (type III),0.65,antiSMASH BGC (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/results/antismash_fungi/aspergillus_niger/GCF_000002855.4/genomic.json
